repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,base_sha,clone_command,diff_link,related_issues_in_pr
jlowin/fastmcp,20011,18.65,1790,Use lowercase namespace for fastmcp logger,https://github.com/jlowin/fastmcp/issues/1790,1791,https://github.com/jlowin/fastmcp/pull/1791,2025-09-26T16:13:03Z,406,106,7,fccd08175868be5090470df2b5e82d59702d4a46,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout fccd08175868be5090470df2b5e82d59702d4a46 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1791.diff,1
jlowin/fastmcp,20011,18.65,1869,Add AWS Cognito OAuth Provider for Enterprise Authentication,https://github.com/jlowin/fastmcp/issues/1869,1873,https://github.com/jlowin/fastmcp/pull/1873,2025-09-25T15:08:45Z,962,7,13,fccd08175868be5090470df2b5e82d59702d4a46,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout fccd08175868be5090470df2b5e82d59702d4a46 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1873.diff,1
jlowin/fastmcp,20011,18.65,1782,Fix: Remove JSON schema title metadata while preserving parameters named 'title',https://github.com/jlowin/fastmcp/issues/1782,1872,https://github.com/jlowin/fastmcp/pull/1872,2025-09-23T14:19:34Z,153,83,6,7770e3a6bc838a1b3c04c6e543b5b804f8868c93,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 7770e3a6bc838a1b3c04c6e543b5b804f8868c93 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1872.diff,2
jlowin/fastmcp,20011,18.65,1762,Add persistent storage for OAuth client registrations,https://github.com/jlowin/fastmcp/issues/1762,1879,https://github.com/jlowin/fastmcp/pull/1879,2025-09-21T14:56:08Z,704,52,14,0ee263a1c6a82603e63c436a477c04eec79e687c,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 0ee263a1c6a82603e63c436a477c04eec79e687c && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1879.diff,2
jlowin/fastmcp,20011,18.65,1852,feat: Add support for Descope Authentication,https://github.com/jlowin/fastmcp/issues/1852,1853,https://github.com/jlowin/fastmcp/pull/1853,2025-09-19T17:46:44Z,504,6,7,9643ad8e1e7f1dab2e36dccfba97ba5a1109a775,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 9643ad8e1e7f1dab2e36dccfba97ba5a1109a775 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1853.diff,1
jlowin/fastmcp,20011,18.65,1825,Add log level support for stdio and HTTP transports,https://github.com/jlowin/fastmcp/issues/1825,1840,https://github.com/jlowin/fastmcp/pull/1840,2025-09-19T17:46:31Z,246,53,7,9643ad8e1e7f1dab2e36dccfba97ba5a1109a775,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 9643ad8e1e7f1dab2e36dccfba97ba5a1109a775 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1840.diff,1
jlowin/fastmcp,20011,18.65,1656,Preserve order in mixed text/image tool returns,https://github.com/jlowin/fastmcp/issues/1656,1704,https://github.com/jlowin/fastmcp/pull/1704,2025-09-06T18:22:29Z,183,74,5,76f14c21b4382bb6adf19d15ca37c99cbfc538c5,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 76f14c21b4382bb6adf19d15ca37c99cbfc538c5 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1704.diff,1
jlowin/fastmcp,20011,18.65,1768,Clean up uvenvironment and ensure `uv run --with fastmcp` is used by install commands,https://github.com/jlowin/fastmcp/issues/1768,1769,https://github.com/jlowin/fastmcp/pull/1769,2025-09-06T18:21:56Z,47,155,16,7fbe3ee39bce8fabdca4897fde691a44ac17bbcd,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 7fbe3ee39bce8fabdca4897fde691a44ac17bbcd && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1769.diff,2
jlowin/fastmcp,20011,18.65,1685,Fix OAuth resource URL handling and WWW-Authenticate header,https://github.com/jlowin/fastmcp/issues/1685,1706,https://github.com/jlowin/fastmcp/pull/1706,2025-09-02T19:14:06Z,518,354,26,bc25802a287788e2bbc4c967fafb4a5c22d7e46b,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout bc25802a287788e2bbc4c967fafb4a5c22d7e46b && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1706.diff,2
jlowin/fastmcp,20011,18.65,1696,Make openai depedency optional,https://github.com/jlowin/fastmcp/issues/1696,1701,https://github.com/jlowin/fastmcp/pull/1701,2025-09-02T19:13:37Z,42,228,5,1db76fb31c87f48c6d9a606da552e69b7f3c92f1,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 1db76fb31c87f48c6d9a606da552e69b7f3c92f1 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1701.diff,1
jlowin/fastmcp,20011,18.65,1700,refactor: replace auth provider registry with ImportString,https://github.com/jlowin/fastmcp/issues/1700,1710,https://github.com/jlowin/fastmcp/pull/1710,2025-09-02T12:31:53Z,276,326,29,bc25802a287788e2bbc4c967fafb4a5c22d7e46b,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout bc25802a287788e2bbc4c967fafb4a5c22d7e46b && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1710.diff,1
jlowin/fastmcp,20011,18.65,1480,feat: introduce declarative JSON configuration system,https://github.com/jlowin/fastmcp/issues/1480,1517,https://github.com/jlowin/fastmcp/pull/1517,2025-08-19T20:06:04Z,3917,108,40,f7738c6f92bfa5f0adefb2926354a559ac0acbff,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout f7738c6f92bfa5f0adefb2926354a559ac0acbff && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1517.diff,1
jlowin/fastmcp,20011,18.65,1573,Implement typed source system for FastMCP declarative configuration,https://github.com/jlowin/fastmcp/issues/1573,1607,https://github.com/jlowin/fastmcp/pull/1607,2025-08-24T20:32:37Z,1656,1602,36,007af5d9b35fece2292aaa1cde31ab79e9f788ae,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 007af5d9b35fece2292aaa1cde31ab79e9f788ae && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1607.diff,3
jlowin/fastmcp,20011,18.65,1558,Add configurable redirect URI validation for OAuth providers,https://github.com/jlowin/fastmcp/issues/1558,1582,https://github.com/jlowin/fastmcp/pull/1582,2025-08-22T19:52:56Z,475,17,7,fe8056fe30f75bccec0aff29a4f13915cf7e845a,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout fe8056fe30f75bccec0aff29a4f13915cf7e845a && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1582.diff,1
jlowin/fastmcp,20011,18.65,1468,Support importing custom_route endpoints when mounting servers,https://github.com/jlowin/fastmcp/issues/1468,1470,https://github.com/jlowin/fastmcp/pull/1470,2025-08-12T16:57:38Z,197,51,5,383a57c28a4ef6d62b7c9db4669236e54c63b117,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 383a57c28a4ef6d62b7c9db4669236e54c63b117 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1470.diff,1
jlowin/fastmcp,20011,18.65,1424,Update static checks,https://github.com/jlowin/fastmcp/issues/1424,1448,https://github.com/jlowin/fastmcp/pull/1448,2025-08-11T21:35:41Z,409,328,24,dd34846266e6439d99274d0da5e4957bc6c52832,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout dd34846266e6439d99274d0da5e4957bc6c52832 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1448.diff,1
jlowin/fastmcp,20011,18.65,1449,Optimize OpenAPI payload size by 46%,https://github.com/jlowin/fastmcp/issues/1449,1452,https://github.com/jlowin/fastmcp/pull/1452,2025-08-11T21:31:54Z,326,109,10,c6768dad5f321a6719a658d65b0da9a0e9322c40,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout c6768dad5f321a6719a658d65b0da9a0e9322c40 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1452.diff,2
jlowin/fastmcp,20011,18.65,1372,Fix OpenAPI transitive references and performance (#1372),https://github.com/jlowin/fastmcp/issues/1372,1426,https://github.com/jlowin/fastmcp/pull/1426,2025-08-10T00:53:51Z,1132,150,15,5fe3287ceeee0cb055296bd35f75eabc3cd975b1,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 5fe3287ceeee0cb055296bd35f75eabc3cd975b1 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1426.diff,3
jlowin/fastmcp,20011,18.65,1390,Ensure resource + template names are properly prefixed when importing/mounting,https://github.com/jlowin/fastmcp/issues/1390,1423,https://github.com/jlowin/fastmcp/pull/1423,2025-08-09T01:29:07Z,205,39,11,22de076b75f5efcb09479710f957268289641357,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 22de076b75f5efcb09479710f957268289641357 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1423.diff,3
jlowin/fastmcp,20011,18.65,1364,Improve redirect handling to address 307's,https://github.com/jlowin/fastmcp/issues/1364,1387,https://github.com/jlowin/fastmcp/pull/1387,2025-08-08T15:55:30Z,175,59,9,77bdc9de200a45149c09cbfabfe82de0744d53a7,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 77bdc9de200a45149c09cbfabfe82de0744d53a7 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1387.diff,5
jlowin/fastmcp,20011,18.65,1273,Add comprehensive OAuth 2.1 authentication system with WorkOS integration,https://github.com/jlowin/fastmcp/issues/1273,1327,https://github.com/jlowin/fastmcp/pull/1327,2025-08-01T21:06:56Z,1602,1339,50,f9bb8e70051c8480ed61bb2a0b75640d3d2951ad,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout f9bb8e70051c8480ed61bb2a0b75640d3d2951ad && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1327.diff,1
jlowin/fastmcp,20011,18.65,1258,Expose FastMCP tags to clients via component `meta` dict,https://github.com/jlowin/fastmcp/issues/1258,1281,https://github.com/jlowin/fastmcp/pull/1281,2025-07-29T00:10:11Z,203,11,16,3fc96c6fd5324f757430a0fef4a7f1cef0cb1c56,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 3fc96c6fd5324f757430a0fef4a7f1cef0cb1c56 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1281.diff,4
jlowin/fastmcp,20011,18.65,1195,Optimize OpenAPI parser performance with single-pass schema processing,https://github.com/jlowin/fastmcp/issues/1195,1214,https://github.com/jlowin/fastmcp/pull/1214,2025-07-22T01:29:57Z,676,145,6,4a38784194545aeff1a205a7fcce1c09e4519fc4,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 4a38784194545aeff1a205a7fcce1c09e4519fc4 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1214.diff,3
jlowin/fastmcp,20011,18.65,91,"Add --python, --project, and --with-requirements options to CLI commands",https://github.com/jlowin/fastmcp/issues/91,1190,https://github.com/jlowin/fastmcp/pull/1190,2025-07-20T01:16:10Z,1140,40,16,1b953820b3c2948e2542dc978c11593e0c23ab97,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 1b953820b3c2948e2542dc978c11593e0c23ab97 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1190.diff,1
jlowin/fastmcp,20011,18.65,1101,Fix Claude Code CLI detection for npm global installations,https://github.com/jlowin/fastmcp/issues/1101,1106,https://github.com/jlowin/fastmcp/pull/1106,2025-07-09T22:09:18Z,300,29,8,d04a216f109bb740a1143634f5382be9175473f4,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout d04a216f109bb740a1143634f5382be9175473f4 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1106.diff,1
jlowin/fastmcp,20011,18.65,1068,Fix concurrent proxy client operations with session isolation,https://github.com/jlowin/fastmcp/issues/1068,1083,https://github.com/jlowin/fastmcp/pull/1083,2025-07-08T21:22:43Z,682,196,10,e67b597c69f0d3bcfa1aa968f2d8305d32f8893a,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout e67b597c69f0d3bcfa1aa968f2d8305d32f8893a && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1083.diff,1
jlowin/fastmcp,20011,18.65,1047,Add Cursor support via CLI integration,https://github.com/jlowin/fastmcp/issues/1047,1052,https://github.com/jlowin/fastmcp/pull/1052,2025-07-06T00:30:47Z,974,260,20,ef742d9400f51d5377c8d44dd4d65373abab87fc,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout ef742d9400f51d5377c8d44dd4d65373abab87fc && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/1052.diff,1
jlowin/fastmcp,20011,18.65,970,MCP 6/18/25: Elicitation support,https://github.com/jlowin/fastmcp/issues/970,889,https://github.com/jlowin/fastmcp/pull/889,2025-06-28T19:17:51Z,2089,208,16,79a92c20cf77cb6109ec6128c296cb61b43b1ed0,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 79a92c20cf77cb6109ec6128c296cb61b43b1ed0 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/889.diff,3
jlowin/fastmcp,20011,18.65,743,MCP 6/18/25: Add output schema to tools,https://github.com/jlowin/fastmcp/issues/743,901,https://github.com/jlowin/fastmcp/pull/901,2025-06-28T12:16:06Z,4608,474,42,85cca273def16ea1326f16e32febd8876fc5a57d,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 85cca273def16ea1326f16e32febd8876fc5a57d && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/901.diff,1
jlowin/fastmcp,20011,18.65,433,Add automatic MCP list change notifications and client message handling,https://github.com/jlowin/fastmcp/issues/433,939,https://github.com/jlowin/fastmcp/pull/939,2025-06-26T13:38:03Z,1015,57,21,1bb3c1404f5682bced6c0cf8438addbf06cfcb37,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 1bb3c1404f5682bced6c0cf8438addbf06cfcb37 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/939.diff,4
jlowin/fastmcp,20011,18.65,549,Add MCP Middleware,https://github.com/jlowin/fastmcp/issues/549,870,https://github.com/jlowin/fastmcp/pull/870,2025-06-19T22:15:36Z,2601,882,27,bed24d20cdfbd43b8de219c0fb561ea33af2e0c7,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout bed24d20cdfbd43b8de219c0fb561ea33af2e0c7 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/870.diff,1
jlowin/fastmcp,20011,18.65,229,"Support creating clients from MCP config dicts, including multi-server clients",https://github.com/jlowin/fastmcp/issues/229,527,https://github.com/jlowin/fastmcp/pull/527,2025-05-21T14:27:51Z,433,53,14,e0e951149fb6648184343431bb3906bf10cda124,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout e0e951149fb6648184343431bb3906bf10cda124 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/527.diff,6
jlowin/fastmcp,20011,18.65,832,Add audio support,https://github.com/jlowin/fastmcp/issues/832,833,https://github.com/jlowin/fastmcp/pull/833,2025-06-14T14:51:51Z,587,265,24,8b50b902801db2e2434f70efb515a1486e93b4f6,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 8b50b902801db2e2434f70efb515a1486e93b4f6 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/833.diff,1
jlowin/fastmcp,20011,18.65,98,Add auth support,https://github.com/jlowin/fastmcp/issues/98,300,https://github.com/jlowin/fastmcp/pull/300,2025-05-02T19:55:46Z,1464,13,7,1f6a849c85da0a82ffbc8b44644fe8c73bb05675,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 1f6a849c85da0a82ffbc8b44644fe8c73bb05675 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/300.diff,1
jlowin/fastmcp,20011,18.65,581,Add keep_alive param to reuse subprocess,https://github.com/jlowin/fastmcp/issues/581,624,https://github.com/jlowin/fastmcp/pull/624,2025-05-29T02:04:29Z,354,28,5,7b879642eee7db225c1ba42f4712bddd33d23e36,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 7b879642eee7db225c1ba42f4712bddd33d23e36 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/624.diff,1
jlowin/fastmcp,20011,18.65,420,Permit more flexible name generation for OpenAPI servers,https://github.com/jlowin/fastmcp/issues/420,578,https://github.com/jlowin/fastmcp/pull/578,2025-05-23T22:02:46Z,423,99,6,f0fec7f8579bfc419fc0e559efe0dc18594cb8b2,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout f0fec7f8579bfc419fc0e559efe0dc18594cb8b2 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/578.diff,3
jlowin/fastmcp,20011,18.65,346,Ensure client headers are passed through to remote servers,https://github.com/jlowin/fastmcp/issues/346,575,https://github.com/jlowin/fastmcp/pull/575,2025-05-23T19:56:34Z,379,63,8,f5c835e65b3fc754cc427da2a9a821fd67aa6743,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout f5c835e65b3fc754cc427da2a9a821fd67aa6743 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/575.diff,2
jlowin/fastmcp,20011,18.65,536,Make error masking configurable,https://github.com/jlowin/fastmcp/issues/536,550,https://github.com/jlowin/fastmcp/pull/550,2025-05-23T15:58:02Z,318,102,14,fca5501639f1c6313e81987edd4f2b4264a5da10,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout fca5501639f1c6313e81987edd4f2b4264a5da10 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/550.diff,1
jlowin/fastmcp,20011,18.65,548,Enhance route map logic for include/exclude OpenAPI routes,https://github.com/jlowin/fastmcp/issues/548,564,https://github.com/jlowin/fastmcp/pull/564,2025-05-23T12:27:23Z,876,244,7,65c91130e58c8b7fb76ccbe04b1f67557a3b2803,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 65c91130e58c8b7fb76ccbe04b1f67557a3b2803 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/564.diff,2
jlowin/fastmcp,20011,18.65,521,better error when missing lifespan,https://github.com/jlowin/fastmcp/issues/521,521,https://github.com/jlowin/fastmcp/pull/521,2025-05-20T19:49:00Z,196,66,10,95a05c397ef6e0bb81f56eace965f3379e44446f,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 95a05c397ef6e0bb81f56eace965f3379e44446f && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/521.diff,1
jlowin/fastmcp,20011,18.65,322,Add progress handler to client,https://github.com/jlowin/fastmcp/issues/322,513,https://github.com/jlowin/fastmcp/pull/513,2025-05-20T14:45:38Z,221,4,5,37a08df970e11bd86d52f0e5c601886f04945d79,git clone https://github.com/jlowin/fastmcp.git && cd fastmcp && git checkout 37a08df970e11bd86d52f0e5c601886f04945d79 && rm -rf .git && git init && gaa && revelo_commit 'Raw repository',https://patch-diff.githubusercontent.com/raw/jlowin/fastmcp/pull/513.diff,2
